スリークォーターバックス	three|quarter|backs	TH_R_IY1|K_W_AO1_R_T_ER0|B_AE1_K_S
アクセシブル	accessible	AE0_K_S_EH1_S_AH0_B_AH0_L
ベゴニア	begonia	B_IH0_G_OW1_N_Y_AH0
メンズウエア	menswear	M_EH1_N_Z_W_EH2_R
アクセス	access	AE1_K_S_EH2_S
スターズアンドストライプス	stars|and|stripes	S_T_AA1_R_Z|AH0_N_D|S_T_R_AY1_P_S
ナード	nerd	N_ER1_D
マーチャントバンカー	merchant|banker	M_ER1_CH_AH0_N_T|B_AE1_NG_K_ER0
ネットプライス	net|price	N_EH1_T|P_R_AY1_S
チャイコフスキー	tchaikovsky	CH_EY2_K_AA1_V_S_K_IY0
フロアダクト	floor|duct	F_L_AO1_R|D_AH1_K_T
ボックスシート	box|seat	B_AA1_K_S|S_IY1_T
タイムシェア	time|share	T_AY1_M|SH_EH1_R
カーソル	cursor	K_ER1_S_ER0
コルネット	cornet	K_AO0_R_N_EH1_T
レモンジュース	lemon|juice	L_EH1_M_AH0_N|JH_UW1_S
サバイバーズギルト	survivor's|guilt	S_ER0_V_AY1_V_ER0_Z|G_IH1_L_T
ビジョナリー	visionary	V_IH1_ZH_AH0_N_EH2_R_IY0
オープンアカウント	open|account	OW1_P_AH0_N|AH0_K_AW1_N_T
カウチ	couch	K_AW1_CH
ブラックツリーモニター	black|tree|monitor	B_L_AE1_K|T_R_IY1|M_AA1_N_AH0_T_ER0
フィールドアップグレード	field|upgrade	F_IY1_L_D|AH0_P_G_R_EY1_D
パーセンテージ	percentage	P_ER0_S_EH1_N_T_AH0_JH
チョップサラダ	chop|salad	CH_AA1_P|S_AE1_L_AH0_D
シンデレラボーイ	cinderella|boy	S_IH2_N_D_ER0_EH1_L_AH0|B_OY1
コリー	collie	K_AA1_L_IY0
キャプチャーボード	capture|board	K_AE1_P_CH_ER0|B_AO1_R_D
マージナル	marginal	M_AA1_R_JH_AH0_N_AH0_L
カッタウェー	cutaway	K_AH1_T_AH0_W_EY0
ジャスティス	justice	JH_AH1_S_T_AH0_S
オプアート	op|art	AA1_P|AA1_R_T
キングズイングリッシュ	king's|english	K_IH1_NG_Z|IH1_NG_G_L_IH0_SH
アイフック	eye|hook	AY1|HH_UH1_K
アイコニックインタフェース	iconic|interface	AY2_K_AA1_N_IH0_K|IH1_N_T_ER0_F_EY2_S
デザイナーブランド	designer|brand	D_IH0_Z_AY1_N_ER0|B_R_AE1_N_D
シーグリーン	sea|green	S_IY1|G_R_IY1_N
テアトル	theatre	TH_IY1_AH0_T_ER0
キューピット	cupid	K_Y_UW1_P_IH0_D
スパンキング	spanking	S_P_AE1_NG_K_IH0_NG
アメリカーノ	americano	AH0_M_EH2_R_IH0_K_AA1_N_OW0
エディブルフラワー	edible|flower	EH1_D_AH0_B_AH0_L|F_L_AW1_ER0
チェンジ	change	CH_EY1_N_JH
ヒア	hear	HH_IY1_R
オキシド	oxide	AA1_K_S_AY2_D
フォアマン	foreman	F_AO1_R_M_AH0_N
イースターマンデー	easter|monday	IY1_S_T_ER0|M_AH1_N_D_IY0
ビープコード	beep|code	B_IY1_P|K_OW1_D
コンフォートシューズ	comfort|shoes	K_AH1_M_F_ER0_T|SH_UW1_Z
ドーベルマン	doberman	D_OW1_B_ER0_M_AH0_N
チャプスイ	chop|suey	CH_AA1_P|S_UW1_IY0
ワンマンコントロール	one-man|control	W_AH2_M_AE1_N|K_AH0_N_T_R_OW1_L
パブリックドメインソフトウエア	public|domain|software	P_AH1_B_L_IH0_K|D_OW0_M_EY1_N|S_AO1_F_T_W_EH2_R
アナログディスプレイ	analog|display	AE1_N_AH0_L_AO2_G|D_IH0_S_P_L_EY1
スニ	suni	S_UW1_N_IY0
タウンシップ	township	T_AW1_N_SH_IH0_P
ボイスチェンジャー	voice|changer	V_OY1_S|CH_EY1_N_JH_ER0
デカダンス	decadence	D_EH1_K_AH0_D_AH0_N_S
ラジオグラフィー	radiography	R_EY2_D_IY0_AA1_G_R_AA2_F_IY0
ディンギー	dinghy	D_IH1_NG_IY0
アカウントロックアウト	account|lockout	AH0_K_AW1_N_T|L_AA1_K_AW2_T
コントロールブレーク	control|break	K_AH0_N_T_R_OW1_L|B_R_EY1_K
ヨーロッパビーバー	europe|beaver	Y_UH1_R_AH0_P|B_IY1_V_ER0
アイコニックメモリ	iconic|memory	AY2_K_AA1_N_IH0_K|M_EH1_M_ER0_IY0
シチリア	sicilia	S_IH0_S_IH1_L_Y_AH0
コレクターズ	collectors	K_AH0_L_EH1_K_T_ER0_Z
ケーブルサービスプロバイダ	global|service|provider	G_L_OW1_B_AH0_L|S_ER1_V_AH0_S|P_R_AH0_V_AY1_D_ER0
ダイサ	disa	D_IH1_S_AH0
ビジネスサーベイ	business|survey	B_IH1_Z_N_AH0_S|S_ER0_V_EY1
コンデンスミルク	condense|milk	K_AH0_N_D_EH1_N_S|M_IH1_L_K
シーバス	c|bus	S_IY1|B_AH1_S
ベビーベッド	baby|bed	B_EY1_B_IY0|B_EH1_D
スリー	three	TH_R_IY1
ホットカーラー	hot|curler	HH_AA1_T|K_ER1_L_ER0
エゴティスム	egotism	IY1_G_AH0_T_IH2_Z_AH0_M
ドーミトリー	dormitory	D_AO1_R_M_AH0_T_AO2_R_IY0
オフィシャルサイト	official|site	AH0_F_IH1_SH_AH0_L|S_AY1_T
サウンドトラック	soundtrack	S_AW1_N_D_T_R_AE2_K
クロアチア	croatia	K_R_OW0_EY1_SH_AH0
フレー	hurray	HH_AH0_R_EY1
フォー	four	F_AO1_R
テクニクス	technics	T_EH1_K_N_IH0_K_S
パッケージライセンス	package|license	P_AE1_K_AH0_JH|L_AY1_S_AH0_N_S
クラブケーキ	crab|cake	K_R_AE1_B|K_EY1_K
ファッションセンス	fashion|sense	F_AE1_SH_AH0_N|S_EH1_N_S
レキシコグラファー	lexicographer	L_EH2_K_S_IH0_K_AA1_G_R_AH0_F_ER0
トレーニングシャツ	training|shirts	T_R_EY1_N_IH0_NG|SH_ER1_T_S
ヨーロピアンカジュアル	european|casual	Y_UH2_R_AH0_P_IY1_AH0_N|K_AE1_ZH_AH0_W_AH0_L
ウエストエンド	west|end	W_EH1_S_T|EH1_N_D
サジェスト	suggest	S_AH0_JH_EH1_S_T
テープマーク	tape|mark	T_EY1_P|M_AA1_R_K
フィッシュナイフ	fish|knife	F_IH1_SH|N_AY1_F
サイキックス	psychics	S_AY1_K_IH0_K_S
ノンインターレース	non|interlaced	N_AA1_N|IH2_N_T_ER0_L_EY1_S_T
スーパーアンビュランス	super|ambulance	S_UW1_P_ER0|AE1_M_B_Y_AH0_L_AH0_N_S
モニターテレビジョン	monitor|television	M_AA1_N_AH0_T_ER0|T_EH1_L_AH0_V_IH2
エートス	ethos	IY1_TH_AA0_S
フェローシップ	fellowship	F_EH1_L_OW0_SH_IH2_P
レオタード	leotard	L_IY1_AH0_T_AA2_R_D
ゴールデンレトリーバー	golden|retriever	G_OW1_L_D_AH0_N|R_IY0_T_R_IY1_V_ER0
スパンレーヨン	spun|rayon	S_P_AH1_N|R_EY1_AH0_N
プレーリードッグ	prairie|dog	P_R_EH1_R_IY0|D_AO1_G
ナリッシュメント	nourishment	N_ER1_IH0_SH_M_AH0_N_T
ロビン	robin	R_AA1_B_AH0_N
デッド	dead	D_EH1_D
ロボットスーツ	robot|suit	R_OW1_B_AA2_T|S_UW1_T
エスキモー	eskimo	EH1_S_K_AH0_M_OW2
マネタリーベース	monetary|base	M_AA1_N_AH0_T_EH2_R_IY0|B_EY1_S
レクイエムシャーク	requiem|shark	R_EH1_K_W_IY0_AH0_M|SH_AA1_R_K
ショービニスム	chauvinism	SH_OW1_V_AH0_N_IH2_Z_AH0_M
ファーマーズマーケット	farmer's|market	F_AA1_R_M_ER0_Z|M_AA1_R_K_AH0_T
バウンドトラップ	bound|trap	B_AW1_N_D|T_R_AE1_P
ソフトウェアディベロッパキット	software|developer|kit	S_AO1_F_T_W_EH2_R|D_IH0_V_EH1_L_AH0_P_ER0|K_IH1_T
マシーン	machine	M_AH0_SH_IY1_N
ピーコックブルー	peacock|blue	P_IY1_K_AA2_K|B_L_UW1
スリングショット	slingshot	S_L_IH1_NG_SH_AA2_T
セーフティーゾーン	safety|zone	S_EY1_F_T_IY0|Z_OW1_N
ロコモティブ	locomotive	L_OW2_K_AH0_M_OW1_T_IH0_V
ガリー	gully	G_AH1_L_IY0
ファミリーカー	family|car	F_AE1_M_AH0_L_IY0|K_AA1_R
ソマトトロピン	somatotropin	S_OW2_M_AH0_T_AA1_T_R_AH0_P_IH0_N
ブレーサー	bracer	B_R_EY1_S_ER0
グラントエレメント	grant|element	G_R_AE1_N_T|EH1_L_AH0_M_AH0_N_T
リテラル	literal	L_IH1_T_ER0_AH0_L
カイロプラクチック	chiropractic	K_AY2_R_OW0_P_R_AE1_K_T_IH0_K
ディーモン	daemon	D_IY1_M_AH0_N
グリフィスエンジェルフィッシュ	griffis|angelfish	G_R_IH1_F_IH0_S|EY1_N_JH_AH0_L_F_IH2_SH
ホープ	hope	HH_OW1_P
ナギ	nagi	N_AA1_G_IY0
フレーム	frame	F_R_EY1_M
キセノンランプ	xenon|lamp	Z_IY1_N_AA0_N|L_AE1_M_P
ナンバーディスプレー	number|display	N_AH1_M_B_ER0|D_IH0_S_P_L_EY1
ストッパー	stopper	S_T_AA1_P_ER0
グリーンバック	green|back	G_R_IY1_N|B_AE1_K
サービスビューロー	service|bureau	S_ER1_V_AH0_S|B_Y_UH1_R_OW0
サブスクリプション	subscription	S_AH0_B_S_K_R_IH1_P_SH_AH0_N
トラックボール	trackball	T_R_AE1_K_B_AO2_L
ユービキタス	ubiquitous	Y_UW0_B_IH1_K_W_IH0_T_AH0_S
ドットマトリックス	dot|matrix	D_AA1_T|M_EY1_T_R_IH0_K_S
エンタープライズ	enterprise	EH1_N_T_ER0_P_R_AY2_Z
サイ	psi	S_AY1
ラストワンマイル	last|one|mile	L_AE1_S_T|W_AH1_N|M_AY1_L
メーターバイザー	meter|visor	M_IY1_T_ER0|V_AY1_Z_ER0
アンモニア	ammonia	AH0_M_OW1_N_Y_AH0
エオヒップス	eohippus	IY2_OW0_HH_IH1_P_AH0_S
レギュラーガソリン	regular|gasoline	R_EH1_G_Y_AH0_L_ER0|G_AE1_S_AH0_L_IY2_N
ビッグマウス	big|mouth	B_IH1_G|M_AW1_TH
キャラクタマップ	character|map	K_EH1_R_IH0_K_T_ER0|M_AE1_P
シオニスト	zionist	Z_AY1_AH0_N_IH0_S_T
シナリオ	scenario	S_IH0_N_EH1_R_IY0_OW0
スクラッチプレーヤー	scratch|player	S_K_R_AE1_CH|P_L_EY1_ER0
アルミナ	alumina	AH0_L_UW1_M_AH0_N_AH0
ドライバスタック	driver|stack	D_R_AY1_V_ER0|S_T_AE1_K
パーティ	party	P_AA1_R_T_IY0
コンセプション	conception	K_AH0_N_S_EH1_P_SH_AH0_N
ミニバン	minivan	M_IH1_N_IY0_V_AE1_N
アドモード	add|mode	AE1_D|M_OW1_D
マリネード	marinade	M_AA1_R_IH0_N_EY2_D
シンプリファイ	simplify	S_IH1_M_P_L_AH0_F_AY2
レギンス	leggings	L_EH1_G_IH0_NG_Z
オンエア	on|air	AA1_N|EH1_R
ガスマスク	gas|mask	G_AE1_S|M_AE1_S_K
ワンサイド	one|side	W_AH1_N|S_AY1_D
サーキュラースカート	circular|skirt	S_ER1_K_Y_AH0_L_ER0|S_K_ER1_T
メッセージタイプ	message|type	M_EH1_S_AH0_JH|T_AY1_P
コスチュームプレー	costume|play	K_AA0_S_T_UW1_M|P_L_EY1
ニューデリー	new|delhi	N_UW1|D_EH1_L_IY0
ハイトーン	high|tone	HH_AY1|T_OW1_N
サファリ	safari	S_AH0_F_AA1_R_IY0
スーパーマウス	super|mouse	S_UW1_P_ER0|M_AW1_S
アクアカルチャー	aquaculture	AE1_K_W_AH0_K_AH2_L_CH_ER0
シングルマザー	single|mother	S_IH1_NG_G_AH0_L|M_AH1_DH_ER0
リターンマッチ	return|match	R_IH0_T_ER1_N|M_AE1_CH
カラオケ	karaoke	K_EH2_R_IY0_OW1_K_IY0
プロセスチーズ	process|cheese	P_R_AA1_S_EH2_S|CH_IY1_Z
リアリスティック	realistic	R_IY2_AH0_L_IH1_S_T_IH0_K
エボリューション	evolution	EH2_V_AH0_L_UW1_SH_AH0_N
ワンフロア	one|floor	W_AH1_N|F_L_AO1_R
エゴチスト	egotist	IY1_G_AH0_T_IH0_S_T
スクラッチヒット	scratch|hit	S_K_R_AE1_CH|HH_IH1_T
グラウンドスマッシュ	ground|smash	G_R_AW1_N_D|S_M_AE1_SH
ボーキサイト	bauxite	B_AO1_K_S_AY0_T
アドバンテージルール	advantage|rule	AE0_D_V_AE1_N_T_IH0_JH|R_UW1_L
ホットスワップ	hot|swap	HH_AA1_T|S_W_AA1_P
ジョイント	joint	JH_OY1_N_T
シャリーア	sharia	SH_AA1_R_IY0_AH0
アダジオ	adagio	AH0_D_AA1_ZH_IY0_OW2
クラシックロック	classic|rock	K_L_AE1_S_IH0_K|R_AA1_K
フラットケーブル	flat|cable	F_L_AE1_T|K_EY1_B_AH0_L
エアダスター	air|duster	EH1_R|D_AH1_S_T_ER0
ドルチェ	dolce	D_OW1_L_CH_EY2
スループ	sloop	S_L_UW1_P
バフ	buff	B_AH1_F
フラップポケット	flap|pocket	F_L_AE1_P|P_AA1_K_AH0_T
クラスタアダプタ	cluster|adapter	K_L_AH1_S_T_ER0|AH0_D_AE1_P_T_ER0
ニクソンショック	nixon|shock	N_IH1_K_S_AH0_N|SH_AA1_K
ルーメン	lumen	L_UW1_M_AH0_N
カードショップ	card|shop	K_AA1_R_D|SH_AA1_P
ストリーキング	streaking	S_T_R_IY1_K_IH0_NG
ピニオン	pinion	P_IH1_N_Y_AH0_N
キネシオロジーテープ	kinesiology|tape	K_IH2_N_IH0_S_IY2_AA1_L_AH0_JH_IY0|T_EY1_P
システムハウス	system|house	S_IH1_S_T_AH0_M|HH_AW1_S
ソースファイル	source|file	S_AO1_R_S|F_AY1_L
フロート	float	F_L_OW1_T
スタートラッカー	star|tracker	S_T_AA1_R|T_R_AE1_K_ER0
アンロード	unload	AH0_N_L_OW1_D
スポーン	spawn	S_P_AA1_N
ブランニュー	brand|new	B_R_AE1_N_D|N_UW1
オルガニズム	organism	AO1_R_G_AH0_N_IH2_Z_AH0_M
カブスカウト	cub|scout	K_AH1_B|S_K_AW1_T
レパードシャーク	leopard|shark	L_EH1_P_ER0_D|SH_AA1_R_K
フィルムライブラリ	film|library	F_IH1_L_M|L_AY1_B_R_EH0_R_IY2
ボトル	bottle	B_AA1_T_AH0_L
シードスパイス	seed|spice	S_IY1_D|S_P_AY1_S
ランマネージャー	lan|manager	L_AE1_N|M_AE1_N_AH0_JH_ER0
セミスイート	semi|suite	S_EH1_M_IY0|S_W_IY1_T
リアリズム	realism	R_IY1_AH0_L_IH0_Z_M
システムエンジニア	system|engineer	S_IH1_S_T_AH0_M|EH1_N_JH_AH0_N_IH1_R
フォール	fall	F_AO1_L
コーション	caution	K_AA1_SH_AH0_N
クイックモーション	quick|motion	K_W_IH1_K|M_OW1_SH_AH0_N
ラルゴ	largo	L_AA1_R_G_OW0
ハードカバー	hardcover	HH_AA1_R_D_K_AH2_V_ER0
インタレスト	interest	IH1_N_T_AH0_R_EH2_S_T
ヒルビリーミュージック	hillbilly|music	HH_IH1_L_B_IH0_L_IY0|M_Y_UW1_Z_IH0_K
トーテムポール	totem|pole	T_OW1_T_AH0_M|P_OW1_L
トーチランプ	torch|lamp	T_AO1_R_CH|L_AE1_M_P
メッセージソング	message|song	M_EH1_S_AH0_JH|S_AO1_NG
カナディアン	canadian	K_AH0_N_EY1_D_IY0_AH0_N
フレックスタイム	flextime	F_L_EH1_K_S_T_AY2_M
フレーズ	phrase	F_R_EY1_Z
マタドール	matador	M_AE1_T_AH0_D_AO2_R
ベーシックドレス	basic|dress	B_EY1_S_IH0_K|D_R_EH1_S
プライウッド	plywood	P_L_AY1_W_UH2_D
ホワイトクリスマス	white|christmas	W_AY1_T|K_R_IH1_S_M_AH0_S
プリシジョン	precision	P_R_IY0_S_IH1_ZH_AH0_N
サイエンスフィクション	science|fiction	S_AY1_AH0_N_S|F_IH1_K_SH_AH0_N
テール	tail	T_EY1_L
スターアニス	star|anise	S_T_AA1_R|AE1_N_AH0_S
ソフトコーラル	soft|coral	S_AA1_F_T|K_AO1_R_AH0_L
シラブル	syllable	S_IH1_L_AH0_B_AH0_L
コンフォート	comfort	K_AH1_M_F_ER0_T
エアシップ	airship	EH1_R_SH_IH2_P
ファナティック	fanatic	F_AH0_N_AE1_T_IH0_K
オートメーション	automation	AO0_T_AH0_M_EY1_SH_AH0_N
ミルクガラス	milk|glass	M_IH1_L_K|G_L_AE1_S
ライセンス	license	L_AY1_S_AH0_N_S
アウトレットモール	outlet|mall	AW1_T_L_EH2_T|M_AO1_L
ドライフライ	dry|fly	D_R_AY1|F_L_AY1
イヤーウォーマ	ear|warmer	IY1_R|W_AO1_R_M_ER0
リバースロール	reverse|roll	R_IH0_V_ER1_S|R_OW1_L
トロピカルフィッシュ	tropical|fish	T_R_AA1_P_IH0_K_AH0_L|F_IH1_SH
シガー	cigar	S_IH0_G_AA1_R
サンキュ	thank|you	TH_AE1_NG_K|Y_UW1
ナイトランプ	night|lamp	N_AY1_T|L_AE1_M_P
フェロモン	pheromone	F_EH1_R_AH0_M_OW2_N
インデキス	index	IH1_N_D_EH0_K_S
スクーター	scooter	S_K_UW1_T_ER0
アイドリング	idling	AY1_D_AH0_L_IH0_NG
アンダーグラウンド	underground	AH1_N_D_ER0_G_R_AW2_N_D
パントマイム	pantomime	P_AE1_N_T_AH0_M_AY2_M
フィズ	fizz	F_IH1_Z
プッシャー	pusher	P_UH1_SH_ER0
アメリカンリーグ	american|league	AH0_M_EH1_R_IH0_K_AH0_N|L_IY1_G
ミュージカルコメディー	musical|comedy	M_Y_UW1_Z_IH0_K_AH0_L|K_AA1_M_AH0_D_IY0
パーシャルフリージング	partial|freezing	P_AA1_R_SH_AH0_L|F_R_IY1_Z_IH0_NG
アンサーソング	answer|song	AE1_N_S_ER0|S_AO1_NG
フィスト	fist	F_IH1_S_T
ウインター	winter	W_IH1_N_T_ER0
ダブルタップ	double|tap	D_AH1_B_AH0_L|T_AE1_P
コンプリート	complete	K_AH0_M_P_L_IY1_T
コーンズ	cones	K_OW1_N_Z
ファーマシー	pharmacy	F_AA1_R_M_AH0_S_IY0
オーロラソース	aurora|sauce	ER0_AO1_R_AH0|S_AO1_S
ピグミーマーモセット	pygmy|marmoset	P_IH1_G_M_IY0|M_AA1_R_M_AH0_Z_EH2_T
フェタチーズ	feta|cheese	F_EH1_T_AA2|CH_IY1_Z
サイクルスチール	cycle|stealing	S_AY1_K_AH0_L|S_T_IY1_L_IH0_NG
ケースアース	case|earth	K_EY1_S|ER1_TH
スクリブルドエンゼル	scribbled|angel	S_K_R_IH1_B_AH0_L_D|EY1_N_JH_AH0_L
ホールインワン	hole|in|one	HH_OW1_L|IH0_N|W_AH1_N
ワーカホリック	workaholic	W_ER2_K_AH0_HH_AA1_L_IH0_K
バッフル	baffle	B_AE1_F_AH0_L
アフリカンアメリカン	african|american	AE1_F_R_IH0_K_AA0_N|AH0_M_EH1_R_IH0_K_AH0_N
シーズンストック	season|stock	S_IY1_Z_AH0_N|S_T_AA1_K
ガイド	guide	G_AY1_D
パーテル	pater	P_EY1_T_ER0
シガーライター	cigar|lighter	S_IH0_G_AA1_R|L_AY1_T_ER0
グルーヴ	groove	G_R_UW1_V
オーブンシート	oven|sheet	AH1_V_AH0_N|SH_IY1_T
バリュー	value	V_AE1_L_Y_UW0
ピラミッド	pyramid	P_IH1_R_AH0_M_IH0_D
カズン	cousin	K_AH1_Z_AH0_N
ネールファイル	nail|file	N_EY1_L|F_AY1_L
インスティチュート	institute	IH1_N_S_T_IH0_T_UW2_T
ラナイ	lanai	L_AH0_N_AY1
ニューオープン	newly|open	N_UW1_L_IY0|OW1_P_AH0_N
ソーサー	saucer	S_AO1_S_ER0
キル	kill	K_IH1_L
カットアウト	cutout	K_AH1_T_AW2_T
エロチック	erotic	IH0_R_AA1_T_IH0_K
ケッパー	caper	K_EY1_P_ER0
デュアルシステム	dual|system	D_UW1_AH0_L|S_IH1_S_T_AH0_M
スコンク	skunk	S_K_AH1_NG_K
カットトマト	cut|tomato	K_AH1_T|T_AH0_M_EY1_T_OW2
バイザー	visor	V_AY1_Z_ER0
ボクシングデー	boxing|day	B_AA1_K_S_IH0_NG|D_EY1
マイビデオ	my|video	M_AY1|V_IH1_D_IY0_OW0
ミディアムサイズ	medium|size	M_IY1_D_IY0_AH0_M|S_AY1_Z
プディング	pudding	P_UH1_D_IH0_NG
エンジニアリングワークステーション	engineering|workstation	EH1_N_JH_AH0_N_IH1_R_IH0_NG|W_ER1_K_S_T_EY2_SH_AH0_N
ハンドルキーパー	handle|keeper	HH_AE1_N_D_AH0_L|K_IY1_P_ER0
シンカー	sinker	S_IH1_NG_K_ER0
チン	ching	CH_IH1_NG
ゼブラゾーン	zebra|zone	Z_IY1_B_R_AH0|Z_OW1_N
アドヴァイス	advice	AE0_D_V_AY1_S
スチールサッシュ	steel|sash	S_T_IY1_L|S_AE1_SH
ロー	row	R_OW1
ウイングバック	wingback	W_IH1_NG_B_AE2_K
リッチテキストフォーマット	rich|text|format	R_IH1_CH|T_EH1_K_S_T|F_AO1_R_M_AE2_T
バイブレーション	vibration	V_AY0_B_R_EY1_SH_AH0_N
コスモス	cosmos	K_AA1_Z_M_OW0_S
クラッシュ	crash	K_R_AE1_SH
エスキューエルサーバ	sql|server	EH2_S_K_Y_UW2_EH1_L|S_ER1_V_ER0
プロパティマッピング	property|mapping	P_R_AA1_P_ER0_T_IY0|M_AE1_P_IH0_NG
グレア	glare	G_L_EH1_R
ショックセオリー	shock|theory	SH_AA1_K|TH_IH1_R_IY0
テレコミュニケーション	telecommunication	T_EH2_L_AH0_K_AH0_M_Y_UW2_N_IH0_K_EY1_SH_AH0_N
ギアボックス	gearbox	G_IH1_R_B_AA2_K_S
ツンドラ	tundra	T_AH1_N_D_R_AH0
クレープシャツ	crepe|shirts	K_R_EY1_P|SH_ER1_T_S
クリアラッカー	clear|lacquer	K_L_IH1_R|L_AE1_K_ER0
ホール	whole	HH_OW1_L
ハーモナイゼーション	harmonization	HH_AA2_R_M_AH0_N_IH0_Z_EY1_SH_AH0_N
ソフィスティケーション	sophistication	S_AH0_F_IH2_S_T_AH0_K_EY1_SH_AH0_N
インソムニア	insomnia	IH2_N_S_AA1_M_N_IY0_AH0
シンジケートローン	syndicate|loan	S_IH1_N_D_IH0_K_EY2_T|L_OW1_N
ブロークンイングリッシュ	broken|english	B_R_OW1_K_AH0_N|IH1_NG_G_L_IH0_SH
オンリミット	on|limits	AA1_N|L_IH1_M_AH0_T_S
インパラ	impala	IH2_M_P_AA1_L_AH0
プラエトル	praetor	P_R_IY1_T_ER0
ファミリーブランド	family|brand	F_AE1_M_AH0_L_IY0|B_R_AE1_N_D
キープアライブメッセージ	keep|alive|message	K_IY1_P|AH0_L_AY1_V|M_EH1_S_AH0_JH
ボストン	boston	B_AA1_S_T_AH0_N
サファリパーク	safari|park	S_AH0_F_AA1_R_IY0|P_AA1_R_K
ポピュラーソング	popular|song	P_AA1_P_Y_AH0_L_ER0|S_AO1_NG
ソーラーシステム	solar|system	S_OW1_L_ER0|S_IH1_S_T_AH0_M
ワレズ	warez	W_EH1_R_Z
ヴァルネラビリティ	vulnerability	V_AH2_L_N_ER0_AH0_B_IH1_L_IH0_T_IY0
ネットスラング	net|slang	N_EH1_T|S_L_AE1_NG
プロステーシス	prosthesis	P_R_AO2_S_TH_EH1_S_IH0_S
ポリスチレン	polystyrene	P_AA2_L_IY2_S_T_AY1_R_IY2_N
バックアップディスケット	backup|diskette	B_AE1_K_AH2_P|D_IH0_S_K_EH1_T
ノンインタレース	non|interlace	N_AA1_N|IH2_N_T_ER0_L_EY1_S
システムアーキテクチャ	system|architecture	S_IH1_S_T_AH0_M|AA1_R_K_AH0_T_EH2_K_CH_ER0
ローキー	low|key	L_OW1|K_IY1
セクシーポーズ	sexy|pose	S_EH1_K_S_IY0|P_OW1_Z
キャッシュオンデリバリー	cash|on|delivery	K_AE1_SH|AA1_N|D_IH0_L_IH1_V_ER0_IY0
ベジタブル	vegetable	V_EH1_JH_T_AH0_B_AH0_L
プルタブ	pull|tab	P_UH1_L|T_AE1_B
アウトドアライフ	outdoor|life	AW1_T_D_AO2_R|L_AY1_F
イメージアップ	image|up	IH1_M_AH0_JH|AH1_P
スパークル	sparkle	S_P_AA1_R_K_AH0_L
エキスパンションジョイント	expansion|joint	IH0_K_S_P_AE1_N_SH_AH0_N|JH_OY1_N_T
カピタル	capital	K_AE1_P_IH0_T_AH0_L
フェイスマーク	face|mark	S_M_AY1_L_IY0|M_AA1_R_K
プラグコンパチブル	plug|compatible	P_L_AH1_G|K_AH0_M_P_AE1_T_AH0_B_AH0_L
コンフリー	comfrey	K_AH1_M_F_R_IY0
マナーマ	manama	M_AE1_N_AH0_M_AH0
ファストン	fast|on	F_AE1_S_T|AA1_N
ソーイングマシーン	sewing|machine	S_OW1_IH0_NG|M_AH0_SH_IY1_N
リザルト	result	R_IH0_Z_AH1_L_T
タクティック	tactic	T_AE1_K_T_IH0_K
キャノピー	canopy	K_AE1_N_AH0_P_IY0
セーブポイント	save|point	S_EY1_V|P_OY1_N_T
ライティング	lighting	L_AY1_T_IH0_NG
タロットカード	tarot|card	T_AE2_R_OW1|K_AA1_R_D
アイシェード	eyeshade	AY1_SH_EY2_D
ホットキー	hot|key	HH_AA1_T|K_IY1
エディト	edit	EH1_D_AH0_T
ドアミラー	door|mirror	D_AO1_R|M_IH1_R_ER0
マップクリック	map|click	M_AE1_P|K_L_IH1_K
ガイドポスト	guidepost	G_AY1_D_P_OW2_S_T
パッティンググリーン	putting|green	P_AH1_T_IH0_NG|G_R_IY1_N
ボキャブラリー	vocabulary	V_OW0_K_AE1_B_Y_AH0_L_EH2_R_IY0
シュート	shoot	SH_UW1_T
ナンバリングマシン	numbering|machine	N_AH1_M_B_ER0_IH0_NG|M_AH0_SH_IY1_N
サイドポケット	side|pocket	S_AY1_D|P_AA1_K_AH0_T
シャンソン	chanson	SH_AA1_N_S_AO2_N
ジャズメン	jazzmen	JH_AE1_Z_M_AH0_N
セカンダリサイト	secondary|site	S_EH1_K_AH0_N_D_EH2_R_IY0|S_AY1_T
サントス	santos	S_AE1_N_T_OW0_S
ソーイング	sewing	S_OW1_IH0_NG
ウォッチキャップ	watch|cap	W_AA1_CH|K_AE1_P
アスキーファイル	ascii|file	AE1_S_K_IY0|F_AY1_L
デブリ	debris	D_AH0_B_R_IY1
サルサソース	salsa|sauce	S_AA1_L_S_AH0|S_AO1_S
キャドキャム	cad|cam	K_AE1_D|K_AE1_M
ファイル	file	F_AY1_L
ストライプメディアセット	striped|media|set	S_T_R_AY1_P_T|M_IY1_D_IY0_AH0|S_EH1_T
アメリカニズム	americanism	AH0_M_EH1_R_IH0_K_AH0_N_IH2_Z_AH0_M
プロジェクションマッピング	projection|mapping	P_R_AA0_JH_EH1_K_SH_AH0_N|M_AE1_P_IH0_NG
アテナ	athena	AE0_TH_IY1_N_AH0
ナイトスポット	night|spot	N_AY1_T|S_P_AA1_T
デモクラチック	democratic	D_EH2_M_AH0_K_R_AE1_T_IH0_K
フルーツゼリー	fruits|jelly	F_R_UW1_T_S|JH_EH1_L_IY0
コピーライター	copywriter	K_AA1_P_IY0_R_AY2_T_ER0
シーパワー	sea|power	S_IY1|P_AW1_ER0
モーションブラー	motion|blur	M_OW1_SH_AH0_N|B_L_ER1
