SUTANDINGU	STANDING
MAKUROASENBURA	MACRO ASSEMBLER
KONPURIHENSHIBUREIAUTO	COMPREHENSIVE LAYOUT
GAIDOMERODI	GUIDE MELODY
KASETTODEKKI	CASSETTE DECK
PARADAIMUSHIFUTO	PARADIGM SHIFT
METAREBERU	META LEVEL
SEKYURITIROGU	SECURITY LOG
KAJUARUUEA	CASUAL WEAR
TEKISUTOFONTO	TEXT FONT
HOWAITOSUREIBURI	WHITE SLAVERY
KIKKUDORAMU	KICK DRUM
FURONTOENDO	FRONT END
AKIRESUTAN	ACHILLES TANG
KUERIDEZAIN	QUERY DESIGN
CHOPPUDOSARADA	CHOPPED SALAD
AUTODOARAIFU	OUTDOOR LIFE
SUPURITTOTAIMU	SPLIT TIME
DESUVOISU	DEATH VOICE
SADDOMAKKU	SAD MAC
AKUSHONDORAMA	ACTION DRAMA
FURASSHUMEMORI	FLASH MEMORY
GONDORARIFUTO	GONDOLA LIFT
KOKOMURISUTO	COCOM LIST
WAINRISUTO	WINE LIST
SERUFUCHEKKINGU	SELF CHECKING
FARAWEI	FAR AWAY
BOKKUSUPARETTO	BOX PALLET
PASSHIBUHAUSU	PASSIVE HOUSE
PABURIKKUDOMEINSOFUTOUEA	PUBLIC DOMAIN SOFTWARE
ESSENSHARUOIRU	ESSENTIAL OIL
AIDORUFURAGU	IDLE FLAG
VENETSUXIANGURASU	VENETIAN GLASS
ANIMARURAITO	ANIMAL RIGHT
DORAIBUMAPPU	DRIVE MAP
PANTISUTOKKINGU	PANTY STOCKING
PUROTESUTOSONGU	PROTEST SONG
KAMERARUSHIDA	CAMERA LUCIDA
PURIMADON'NA	PRIMA DONNA
SHOTTOGANMAIKU	SHOTGUN MIC
ROKETTOENJIN	ROCKET ENGINE
PURACHINABURONDO	PLATINUM BLONDE
OFUSAIDO	OFF SIDE
BODISHEIMINGU	BODY SHAMING
JIGUZAGUDEMO	ZIGZAG DEMO
SATENSUTECCHI	SATIN STITCH
TORIOSONATA	TRIO SONATA
ONRAINTESUTOSEKUSHON	ONLINE TEST SECTION
RASUTAGURAFIKKUSU	RASTER GRAPHICS
PABURIKKUDOMEINSOFUTOWEA	PUBLIC DOMAIN SOFTWARE
TAPPUDANSU	TAP DANCE
MARUCHIWINDOUSHISUTEMU	MULTI WINDOW SYSTEM
BUITEKISUTO	V TEXT
PURAIMUTAIMU	PRIME TIME
KURISUCHANSAIENSU	CHRISTIAN SCIENCE
KONPAKUTOKAMERA	COMPACT CAMERA
FASUTOSEREKUTO	FAST SELECT
DEJABU	DEJA VU
SABAIBARUUEA	SURVIVAL WEAR
FURAGUREJISUTA	FLAG REGISTER
HOTTORODDO	HOT ROD
FAIRUPUROPATI	FILE PROPERTY
SHINGURUMAMA	SINGLE MAMA
ESUNIKKUKURENJINGU	ETHNIC CLEANSING
ERUDORADO	EL DORADO
MODERUHAUSU	MODEL HOUSE
PURINSUMERON	PRINCE MELON
SHURINKURAPPU 	SHRINK WRAP
PUCHIBURUJOA	PETIT BOURGEOIS
RABUCHAIRUDO	LOVE CHILD
POJITIBURISUTO	POSITIVE LIST
JUNIABURA	JUNIOR BRA
CHIBETTOGAZERU	TIBET GAZELLE
PAIROTTORANPU	PILOT LAMP
MIDORUMANEJIMENTO	MIDDLE MANAGEMENT
KONTEKISUTOPUROPATI	CONTEXT PROPERTY
DEIBEDDO	DAY BED
FOAINHANDO	FOUR IN HAND
TAITAKKU	TIE TACK
ANGUROARABU	ANGLO ARAB
PUREKATTO	PRE CUT
BOUTAI	BOW TIE
BUKKUKAFE	BOOK CAFE
BIJINESUMODERU	BUSINESS MODEL
FAIRUMODERU	FILE MODEL
SANTOME	SAO TOME
SAIKEDERIKKUROKKU	PSYCHEDELIC ROCK
MORARUHARASUMENTO	MORAL HARASSMENT
AUTODOARIBINGU	OUTDOOR LIVING
MADORASUCHEKKU	MADRAS CHECK
BOSUTONBAGGU	BOSTON BAG
SEMANTIKKUWEBU	SEMANTIC WEB
INSURINSHOKKU	INSULIN SHOCK
MAGUNAKARUTA	MAGNA CARTA
DIPPUSUICCHI	DIP SWITCH
AKUTIBUDISUPUREI	ACTIVE DISPLAY
TERAROSSA	TERRA ROSSA
BOIRUDOEGGU	BOILED EGG
RAINSHAFUTO	LINE SHAFT
GURAFIKKUSOFUTOWEA	GRAPHICS SOFTWARE
DIFARENSHARUGIA	DIFFERENTIAL GEAR
SEKANDARIRINGU	SECONDARY RING
ROGUINSHERU	LOGIN SHELL
PABURIKKUINBORUBUMENTO	PUBLIC INVOLVEMENT
FURUTAIMU	FULL TIME
FISSHUNAIFU	FISH KNIFE
BESUTOPOJISHON	BEST POSITION
SURAIDOGURASU	SLIDE GLASS
DORAGGUROKKU	DRAG LOCK
SASUTEININGUPUROGURAMU	SUSTAINING PROGRAM
GUDDORUKKINGU	GOOD LOOKING
DEKKIBURASHI	DECK BRUSH
KONPANIONPURANTSU	COMPANION PLANTS
SHINEMAKONPUREKKUSU	CINEMA COMPLEX
ANCHIEIJINGU	ANTI AGING
MASUPURODAKUSHON	MASS PRODUCTION
DISUKOSAUNDO	DISCO SOUND
GORUFUKURABU	GOLF CLUB
ZEROSAMU	ZERO SUM
ADORESUREJISUTA	ADDRESS REGISTER
MATANITIHARASUMENTO	MATERNITY HARASSMENT
PARAPARA	PARA PARA
KAMUAUTO	COME OUT
RAIFUBESUTO	LIFE VEST
SANMAIKUROSHISUTEMUZU	SUN MICROSYSTEMS
CHIBETANMASUCHIFU	TIBETAN MASTIFF
PURINTAENJIN	PRINTER ENGINE
SOSHIARUDANSU	SOCIAL DANCE
REKKUDAIBINGU	WRECK DIVING
BUKKURISUTO	BOOK LIST
KEAHAUSU	CARE HOUSE
DISUPUREISESSHON	DISPLAY SESSION
ARABIANRAITO	ARABIAN LIGHT
FAIRUDISUKURIPUTA	FILE DESCRIPTOR
SAIRENTOSETTOAPPU	SILENT SETUP
SURAIDORAIBURARI	SLIDE LIBRARY
PUROPATIMAPPINGU	PROPERTY MAPPING
NAUNAUIZUMU	NOW NOW ISM
FURENCHIDORESSHINGU	FRENCH DRESSING
KUREJITTOFASHIRITI	CREDIT FACILITY
BIJINESURAIKU	BUSINESS LIKE
MODIFAIDOAMERIKANPURAN	MODIFIED AMERICAN PLAN
SANDOUEJJI	SAND WEDGE
EREKUTORAKONPUREKKUSU	ELECTRA COMPLEX
WAIRUDOPICCHI	WILD PITCH
ORIJINARUPURINTO	ORIGINAL PRINT
KONCHINENTARUTANGO	CONTINENTAL TANGO
NEGATIBUOPUSHON	NEGATIVE OPTION
PAREODAIETTO	PALEO DIET
PURINTADORAIBA	PRINTER DRIVER
RAIVUBANDO	LIVE BAND
SUPOTTOANAUNSU	SPOT ANNOUNCE
KONTORAKUTOBURIJJI	CONTRACT BRIDGE
FURAGGUKYARIA	FLAG CARRIER
JANPAPIN	JUMPER PIN
SAIKURUWEA	CYCLE WARE
POKETTOSAIZU	POCKET SIZE
SEKANDORAN	SECOND RUN
GURAUNDOSUMASSHU	GROUND SMASH
FANKOIRUYUNITTO	FAN COIL UNIT
AKADEMIKKUHARASUMENTO	ACADEMIC HARASSMENT
DEJITARUNEITIBU	DIGITAL NATIVE
SABUBANKU	SUB BANK
AIKONTAKUTO	EYE CONTACT
ROSHIADESUMAN	RUSSIA DESMAN
DEBAGGINGUMONITA	DEBUGGING MONITOR
BODITACCHI	BODY TOUCH
RAITOBAN	LIGHT VAN
KYASSHURAITA	CACHE WRITER
GURAFIKKUSUKOPUROSESSA	GRAPHICS COPROCESSOR
EGGUBENEDIKUTO	EGG BENEDICT
NIKOCHINPACCHI	NICOTINE PATCH
ANIMARURAITSU	ANIMAL RIGHTS
FOTOARUBAMU	PHOTO ALBUM
ANCHIESUTABURISSHUMENTO	ANTI ESTABLISHMENT
BONRESUHAMU	BONELESS HAM
PAKETTOBAFFA	PACKET BUFFER
RAN'NINGUMASHIN	RUNNING MACHINE
REDIZUKONPANION	LADY'S COMPANION
ZEROSAPURESU	ZERO SUPPRESS
ROKKINGUCHEA	ROCKING CHAIR
WININGUSHOTTO	WINNING SHOT
DAIYAMONDORINGU	DIAMOND RING
RABUKOMEDI	LOVE COMEDY
WANRANKU	ONE RANK
PAKETTODORAIBA	PACKET DRIVER
TAIMUINTERIJENSU	TIME INTELLIGENCE
ATTORANDAMU	AT RANDOM
DABURUTORAKKU	DOUBLE TRACK
DIPUSUICCHI	DIP SWITCH
ROKKUGURASU	ROCK GLASS
RAIN'AUTO	LINE OUT
MEDIAFAIRU	MEDIA FILE
KURITIKARUHITTO	CRITICAL HIT
MISSHINGURINKU	MISSING LINK
METANGASU	METHANE GAS
BAKKUAPPUSETTOKATAROGU	BACKUP SET CATALOG
SEKKUSUSUTORAIKI	SEX STRIKE
YANGUMAN	YOUNG MAN
KOSUTOKATTO	COST CUT
FOWAGURA	FOIE GRAS
PAN'AMERIKANIZUMU	PAN AMERICANISM
BIGGUSAIENSU	BIG SCIENCE
GAIDOPIN	GUIDE PIN
FUROAPURAISU	FLOOR PRICE
MIRINGUMASHIN	MILLING MACHINE
ROSUTOKURASUTA	LOST CLUSTER
SUTAIRUBUKKU	STYLE BOOK
PORUTORANDOSEMENTO	PORTLAND CEMENT
FONTOMETORIKKU	FONT METRIC
SERUBASU	CELL PATH
RAPPUARAUNDO	WRAP AROUND
AKURIRUPURASUCHIKKU	ACRYL PLASTIC
SHINGURUKYASUTO	SINGLE CAST
JIMUKUROU	JIM CROW
DANKUSHOTTO	DUNK SHOT
MARUCHIPAN	MULTI PAN
ZATTSURAITO	THAT'S RIGHT
FURENCHIFURAI	FRENCH FRY
FAIRUBAKKUAPPU	FILE BACKUP
SUTEROIDOHORUMON	STEROID HORMONE
SEGUMENTOADORESSHINGU	SEGMENT ADDRESSING
KARENTODIREKUTORI	CURRENT DIRECTORY
KURISUCHANROKKU	CHRISTIAN ROCK
GUDDOTAIMINGU	GOOD TIMING
SARANRAPPU	SARAN WRAP
KASUTAMUMEIDO	CUSTOM MADE
KUROKKUAPPU	CLOCK UP
NEGATIBURISUTO	NEGATIVE LIST
AMERIKAN'INDIAN	AMERICAN INDIAN
KOMANDOWINDOU	COMMAND WINDOW
FAIRUKYABINETTO	FILE CABINET
HAIENDOMASHIN	HIGH-END MACHINE
SOFUTOWEASUTAKKU	SOFTWARE STACK
NONKYARIA	NON CAREER
MERUTINGUPOTTO	MELTING POT
AKUSESUTAIMU	ACCESS TIME
SAIDOSUTEPPU	SIDE STEP
TAIMUFENSU	TIME FENCE
EFUEMUTAUNZU	FM TOWNS
POJITIBUORUGAN	POSITIVE ORGAN
KURACCHIBAGGU	CLUTCH BAG
SHISUTEMUCHANERU	SYSTEM CHANNEL
KYARIAPASU	CAREER PATH
GURAFUERIA	GRAPH AREA
PINMAIKU	PIN MIC
OBUJEKUTOFAIRU	OBJECT FILE
RAITOTACCHI	LIGHT TOUCH
FURUSUKOA	FULL SCORE
BOKKUSUSETTO	BOX SET
DABURUKYASUTO	DOUBLE CAST
DEBISUKAPPU	DAVIS CUP
POSUTOOFISU	POST OFFICE
NIKUSONSHOKKU	NIXON SHOCK
RANKUDAUN	RANK DOWN
CHESUTOPASU	CHEST PASS
REDDOAI	RED EYE
PUARUKKU	POOR LOOK
PARARERUPURINTA	PARALLEL PRINTER
DETTOSUTOKKU	DEAD STOCK
MAKADEMIANATTSU	MACADAMIA NUT
INBESUTOMENTOBANKINGU	INVESTMENT BANKING
REBERUDAUN	LEVEL DAWN
SERUSUKURANBURU	CELL SCRAMBLE
EAPURANTSU	AIR PLANTS
SHIKKUSUNAIN	SIX NINE
RISETTOBOTAN	RESET BUTTON
EGGUTARUTO	EGG TART
CHAPUSUI	CHOP SUEY
RAPPUTAORU	WRAP TOWEL
KABUSUKAUTO	CUB SCOUT
GIRUTOTOPPU	GILT TOP
DEDDOSUTOKKU	DEAD STOCK
WANKOIN	ONE COIN
SHISUTEMUHAKKINGU	SYSTEM HACKING
RAN'NINGUPANTSU	RUNNING SHORTS
NAISUSHOTTO	NICE SHOT
TAIMURIHITTO	TIMELY HIT
KYARIAOIRU	CARRIER OIL
SUTORONGUPOINTO	STRONG POINT
DENTARURINSU	DENTAL RINSE
SURIPPUON	SLIP ON
EAGAN	AIR GUN
SABUJANRU	SUB GENRE
TEKUSUCHAMAPPINGU	TEXTURE MAPPING
WEITOBERUTO	WEIGHT BELT
DEBAISUFONTO	DEVICE FONT
BANDOEIDO	BAND AID
AUTOBOKKUSU	OUT BOX
AIKEA	EYE CARE
BINIRUKUROSU	VINYL CLOTH
MAKURORENZU	MACRO LENS
RIARUTAIMUBUROKKURISUTO	REAL-TIME BLOCK LIST
GURANDODEZAIN	GRAND DESIGN
KUROSUKONEKUTO	CROSS CONNECT
KAFETERIAPURAN	CAFETERIA PLAN
SUTORAIPUMEDIASETTO	STRIPED MEDIA SET
INKUBOTORU	INK BOTTLE
BURAJIRUNATTSU	BRAZIL NUT
POSUTOPIKUSERUBURENDO	POST PIXEL BLEND
SURITTOKAMERA	SLIT CAMERA
JANPAPURAGU	JUMPER PLUG
AMERIKANDOGGU	AMERICAN DOG
HASSHUDOPOTETO	HASHED POTATO
DOTTODOTTO	DOT DOT
GIBUANDOTEIKU	GIVE AND TAKE
SUTORECCHIPANTSU	STRETCH PANTS
DORAIBUTAIPU	DRIVE TYPE
ARABIAN'ENJERUFISSHU	ARABIAN ANGELFISH
FIRUMUBAJJI	FILM BADGE
WANTENPO	ONE TEMPO
AROMAKYANDORU	AROMA CANDLE
PARITIBITTO	PARITY BIT
DANSUKYAPPU	DANCE CAP
EKODORAIBU	ECO DRIVE
BAKETTOHATTO	BUCKET HAT
RASUTOWANMAIRU	LAST ONE MILE
GAZETTOBAKKU	GADGET BAG
OFUTORAKKU	OFF TRACK
DISUKAUNTOSUTOA	DISCOUNT STORE
REFUTOUINGU	LEFT WING
TEREBIJONSUTAJIO	TELEVISION STUDIO
KUROSURIFARENSU	CROSS REFERENCE
MEZOFORUTE	MEZZO FORTE
PIKETTORAIN	PICKET LINE
SUTIRURAIFU	STILL LIFE
TOPPUFASSHON	TOP FASHION
GORUFUBAGGU	GOLF BAG
UESUTOBAGGU	WAIST BAG
KUIKKUSUTAIRU	QUICK STYLE
AKISHIARUPISUTONPONPU	AXIAL PISTON PUMP
FURENCHIKISU	FRENCH KISS
TORANZAMU	TRANS AM
FATTOSUPUREDDO	FAT SPREAD
KYACCHIAPPU	CATCH UP
DAIREKUTOTACCHI	DIRECT TOUCH
HAIKIKKU	HIGH KICK
RAN'NINGUPANTSU	RUNNING PANTS
RINGUAUTO	RING OUT
AISUPAKKU	ICE BAG
PANERUTEKUNIKKU	PANEL TECHNIQUE
TEKUNIKARUPOINTO	TECHNICAL POINT
CHIADANSU	CHEER DANCE
GURIFISUENJERUFISSHU	GRIFFIS ANGELFISH
BURAKKUTAI	BLACK TIE
KURISUTARUMAIKUROHON	CRYSTAL MICROPHONE
MEDIKARUENJINIARINGU	MEDICAL ENGINEERING
ANIRINBURAKKU	ANILINE BLACK
DABURUKURACCHI	DOUBLE CLUTCH
AKUTIBUKONTENTSU	ACTIVE CONTENTS
DEFORUTOINSUTANSU	DEFAULT INSTANCE
RAINAPPU	LINE UP
MARUCHITACCHI	MULTI TOUCH
SAKURIFAISUHITTO	SACRIFICE HIT
IBENTOPUROPATI	EVENT PROPERTY
FAIRUSHEARINGU	FILE SHARING
DORESUSHATSU	DRESS SHIRTS
TEREBIJON'ANTENA	TELEVISION ANTENNA
KOMONKYARIYA	COMMON CARRIER
ERUSARUBADORU	EL SALVADOR
INKAMERA	IN CAMERA
KURISUMASUSONGU	CHRISTMAS SONG
RIKURAININGUSOFA	RECLINING SOFA
JAZUPIANO	JAZZ PIANO
PURASUDORAIBA	PLUS DRIVER
TEREHONSEKKUSU	TELEPHONE SEX
RINGUAFURANKA	LINGUA FRANCA
BIJINESURANCHI	BUSINESS LUNCH
ORIJINARUSHINARIO	ORIGINAL SCENARIO
RAN'NINGUFUTTO	RUNNING FOOT
IBENTOKURASU	EVENT CLASS
EATAORU	AIR TOWEL
RENTARUBIDEO	RENTAL VIDEO
ENRICCHIDOEA	ENRICHED AIR
FOTORETACCHI	PHOTO RETOUCH
PANTOKIKKU	PUNT KICK
DEMOIN	DES MOINES
BOUGAN	BOW GUN
FONTOFAMIRI	FONT FAMILY
FURUPASU	FULL PATH
ON'EA	ON AIR
EREKUTORONIKKUKAFE	ELECTRONIC CAFE
RUKKUAPPU	LOOK UP
BARUKUKYARIA	BULK CARRIER
POTETOFURAI	POTATO FRY
AKUSESURANKINGU	ACCESS RANKING
RINIAPUROGURAMINGU	LINEAR PROGRAMMING
KYATTOFAITO	CAT FIGHT
DORAIBASUTAKKU	DRIVER STACK
TOIGAN	TOY GUN
SANDOWEJJI	SAND WEDGE
KATAROGUSHOPPINGU	CATALOG SHOPPING
RAIFUPURAN	LIFE PLAN
AIDENTITIPORITIKUSU	IDENTITY POLITICS
TEIKUOFU	TAKE OFF
KOASHISUTEMU	CORE SYSTEM
ASENBURIMANIFESUTO	ASSEMBLY MANIFEST
PURODAKUTOMIKKUSU	PRODUCT MIX
WANPOINTOADOBAISU	ONE POINT ADVICE
PISUTON'ENJIN	PISTON ENGINE
RONGUDORAIBU	LONG DRIVE
TAIMURAPUSU	TIME LAPSE
FERAITOKOA	FERRITE CORE
PICCHIAKUSENTO	PITCH ACCENT
HAIOKUTAN	HIGH OCTANE
MESUFURASUKO	MESS FLASK
TOPPUSUPIN	TOP SPIN
HOTTOPURAGU	HOT PLUG
REYUNION'ENJERUFISSHU	REUNION ANGELFISH
MINTOKYANDI	MINT CANDY
NOMINARUPURAISU	NOMINAL PRICE
BASUSUTOPPU	BUS STOP
SAIMONSEZZU	SIMON SAYS
SUTATIKKUMEMORI	STATIC MEMORY
FURAITOBAGGU	FLIGHT BAG
SUNEADORAMU	SNARE DRUM
HANDONITTO	HAND KNIT
WEBUTEKISUTO	WEB TEXT
PUROJEKUTOFAIRU	PROJECT FILE
ANAROGUMODEMU	ANALOG MODEM
SEKKUSUTEKUNIKKU	SEX TECHNIQUE
HOTTOKOKOA	HOT COCOA
DESUKUTOPPUPABURISSHINGU	DESKTOP PUBLISHING
JONBURU	JOHN BULL
KABOVERUDE	CAPE VERDE
BIDEOSHIGUNARU	VIDEO SIGNAL
JETTOBASU	JET BATH
MONARIZA	MONA LISA
SHEIPUTOKYANBASU	SHAPED CANVAS
GASUPAIPU	GAS PIPE
TOROIPONDO	TROY POUND
FAIRUSHISUTEMU	FILE SYSTEM
BAKKUBAFFA	BACK BUFFER
UOSSHUANDOUEA	WASH AND WEAR
FURENCHIENZERUFISSHU	FRENCH ANGELFISH
GURAUNDOGORUFU	GROUND GOLF
TASUKUSUICCHA	TASK SWITCHER
TACCHITAIPINGU	TOUCH TYPING
PAMISUTON	PUMICE STONE
KADOMIUMUORENJI	CADMIUM ORANGE
TEKKUEDO	TECH ED
KURESUTEDDOKARAKARA	CRESTED CARACARA
SOFUTOWEAGAIDO	SOFTWARE GUIDE
PABURIKKUBASU	PUBLIC BATH
SOIRUSEMENTO	SOIL CEMENT
JOISUTIKKU	JOY STICK
BAKKUGIYA	BACK GEAR
TAIMUSHEA	TIME SHARE
HANGUTEN	HANG TEN
AKUTIBUSUKURIPUTO	ACTIVE SCRIPT
EKUSUTENDOMEMORI	EXTEND MEMORY
NASHONARUPUROJEKUTO	NATIONAL PROJECT
EAMATTO	AIR MAT
SUN'NITORAIANGURU	SUNNI TRIANGLE
WEBUADORESU	WEB ADDRESS
MODANDANSU	MODERN DANCE
KYASSHUMEMORI	CACHE MEMORY
ZEROWEISUTO	ZERO WASTE
RANDAMUAKUSESUMEMORIKYASSHU	RANDOM ACCESS MEMORY CACHE
KYAPUCHABAFFA	CAPTURE BUFFER
INHAUSU	IN HOUSE
BANIRAESSENSU	VANILLA ESSENCE
MATANITIBURA	MATERNITY BRA
MATANITIDORESU	MATERNITY DRESS
KOAKONPITENSU	CORE COMPETENCE
PUREIMATTO	PLAY MAT
SHINFONIKKUJAZU	SYMPHONIC JAZZ
OIRUFENSU	OIL FENCE
ROKKUBANDO	ROCK BAND
KATTOSUTEPPU	CUT STEP
MENTARUMODERU	MENTAL MODEL
IN'AKUTIBUWINDOU	INACTIVE WINDOW
BURADDOBANKU	BLOOD BANK
BENECHIANGURASU	VENETIAN GLASS
MAGUKAPPU	MUG CUP
SOFUTOUEAHAUSU	SOFTWARE HOUSE
DOKYUMENTOPUROPATI	DOCUMENT PROPERTY
PUEBUROINDIAN	PUEBLO INDIAN
AUTOBOKUSHINGU	OUT BOXING
DEJITARUKONTENTSU	DIGITAL CONTENTS
PANKUROKKU	PUNK ROCK
AUTORAINFONTO	OUTLINE FONT
TORANZAKUSHONPUROGURAMU	TRANSACTION PROGRAM
BITTOPARITI	BIT PARITY
FURATTOBEDDOSUKYANA	FLATBED SCANNER
AKAUNTODOMEIN	ACCOUNT DOMAIN
SHITIGAIDO	CITY GUIDE
PUROPATIEDITA	PROPERTY EDITOR
FINSUIMINGU	FIN SWIMMING
GIYATOREIN	GEAR TRAIN
AIANKURABU	IRON CLUB
AKUTIBITIMODERUSUTEPPU	ACTIVITY MODEL STEP
EJJISABUSUKURIPUSHON	EDGE SUBSCRIPTION
RONGURENJI	LONG RANGE
EKISUTORABEDDO	EXTRA BED
MEINTAITORU	MAIN TITLE
AKURIRIKKUREJINSEMENTO	ACRYLIC RESIN CEMENT
KYAPUTENSHISUTEMU	CAPTAIN SYSTEM
KURASUFAKUTORI	CLASS FACTORY
KOASUTOA	CORE STORE
GARUUINGU	GULL WING
ROKABO	LOW CARB
HOWAITOHAUSU	WHITE HOUSE
AKUTIBUMATORIKUSUDISUPUREI	ACTIVE MATRIX DISPLAY
RAJIKARUFEMINIZUMU	RADICAL FEMINISM
SANHOSE	SAN JOSE
KURISUMASUPUDINGU	CHRISTMAS PUDDING
FURAIDOEGGU	FRIED EGG
NASHONARUBANKU	NATIONAL BANK
ONJIEA	ON THE AIR
PURINTAWINDOU	PRINTER WINDOW
BUROKKUBAFFARINGU	BLOCK BUFFERING
KAPPUAISU	CUP ICE
RANCHIDORESSHINGU	RANCH DRESSING
EBORAUIRUSU	EBOLA VIRUS
KUROSUKIKKU	CROSS KICK
INTERIJENTOHABU	INTELLIGENT HUB
CHESUSETTO	CHESS SET
NEGADIBURISUTO	NEGATIVE LIST
SUTORAPPUOPUSHON	STRAPPING OPTION
SUKUWEADANSU	SQUARE DANCE
ENTORIPOINTO	ENTRY POINT
BUKKUBANDO	BOOK BAND
FURUNERUSON	FULL NELSON
UINGUPONPU	WING PUMP
KURIAFAIRU	CLEAR FILE
SUNAPPUBOTAN	SNAP BUTTON
RAIBUHAUSU	LIVE HOUSE
HAIPASUFIRUTA	HIGH PASS FILTER
TEKUNOSUTORESU	TECHNO STRESS
PIKKUAPPUTORAKKU	PICKUP TRUCK
JAMUSESSHON	JAM SESSION
RASUTODANJON	LAST DUNGEON
AKUTIBUSHISUTEMU	ACTIVE SYSTEM
BUDDABOURU	BUDDHA BOWL
MATERIARUHANDORINGU	MATERIAL HANDLING
MOJURAKONPAIRU	MODULAR COMPILE
DOKYUMENTOFAIRU	DOCUMENT FILE
MAIKUROBIKINI	MICRO BIKINI
MAIDOKYUMENTO	MY DOCUMENTS
BURANDOWINDOU	BRAND WINDOW
RONGUHITTO	LONG HIT
JENERIKKUBURANDO	GENERIC BRAND
SHINKURONAIZUDOSUIMINGU	SYNCHRONIZED SWIMMING
SHOPPUPOINTO	SHOP POINT
TEREHON'APOINTOMENTO	TELEPHONE APPOINTMENT
TOMUSONGAZERU	THOMSON GAZELLE
TESUTOSETTO	TEST SET
AIMEITO	EYE MATE
NAIFURIJJI	KNIFE RIDGE
OFURAINFORUDAFAIRU	OFFLINE FOLDER FILE
DOAAI	DOOR EYE
SERAMIKKUENJIN	CERAMIC ENGINE
KASUTAMUPANERUWINDOU	CUSTOM PANEL WINDOW
IGUNISSHONKOIRU	IGNITION COIL
SUTANPUMIRU	STAMP MILL
KUROSUPUREI	CLOSE PLAY
VIORADAGANBA	VIOLA DA GAMBA
KAMERAREDI	CAMERA READY
INSUTORUMENTOPANERU	INSTRUMENT PANEL
DANPUTORAKKU	DUMP TRUCK
RAITOBOKKUSU	LIGHT BOX
GURAFIKKUSOFUTO	GRAPHIC SOFT
BASUTOSHOTTO	BUST SHOT
JAIROHORAIZUN	GYRO HORIZON
ANSAHON	ANSWER PHONE
APPUSERU	UP SELL
KONTEKUSUTOEDITA	CONTEXT EDITOR
DEJITARURAISENSU	DIGITAL LICENSE
BIDEORAIBURARI	VIDEO LIBRARY
TOMATOKECHAPPU	TOMATO KETCHUP
BIJINESUHOTERU	BUSINESS HOTEL
SOFUTOFONTO	SOFT FONT
SANKYU	THANK YOU
DAIYAMONDOTETORA	DIAMOND TETRA
RAITOTSUNA	LIGHT TUNA
BURUTERIA	BULL TERRIER
KYABIN'ATENDANTO	CABIN ATTENDANT
KYATTOTAN	CAT TONGUE
WAIRUDORAISU	WILD RICE
SHUMITTOKAMERA	SCHMIDT CAMERA
PABURIKKUOPINION	PUBLIC OPINION
RAJIKARUEKONOMIKKUSU	RADICAL ECONOMICS
DABURUPANCHI	DOUBLE PUNCH
TAISUKI	THAI SUKI
BAINDOFAIRU	BIND FILE
HOTTOJAZU	HOT JAZZ
KOMIKKUSONGU	COMIC SONG
INDASUTORIARUENJINIARINGU	INDUSTRIAL ENGINEERING
MEMORIPUROTEKUTO	MEMORY PROTECT
WEBUDEZAINA	WEB DESIGNER
PABURIKKUKOMENTO	PUBLIC COMMENT
RONGUTEIRU	LONG TAIL
PARAMETABAITO	PARAMETER BYTE
ESUTETIKKUSARON	ESTHETIC SALON
AFURIKAN'ENJERU	AFRICAN ANGEL
GURAMUTON	GRAM TON
DENTARUDAMU	DENTAL DAM
OIRUSHIRUKU	OIL SILK
JUNIAMIDORU	JUNIOR MIDDLE
DACCHIANGURU	DUTCH ANGLE
BIJINESUANARISUTO	BUSINESS ANALYST
KARIFORUNIAKONDORU	CALIFORNIA CONDOR
MORARUPANIKKU	MORAL PANIC
RAISUMIRUKU	RICE MILK
DORAIBINGUKONTESUTO	DRIVING CONTEST
WOSHURETTO	WASH TOILET
FASUTON	FAST ON
KUIKKUTABU	QUICK TAB
NETTOBIJINESU	NET BUSINESS
TSUNASANDO	TUNA SAND
ONRAINBAKKUAPPU	ONLINE BACKUP
SHOPPINGUBAGGU	SHOPPING BAG
HIPPUAPPU	HIP UP
BOKKUSUMODERU	BOX MODEL
JAPANBASSHINGU	JAPAN BASHING
TENISURAKETTO	TENNIS RACKET
GUDDORAKKU	GOOD LUCK
GURIDDOBAIASU	GRID BIAS
SOFUTOSUKIRU	SOFT SKILL
NETTOIN	NET IN
RAUNJICHEA	LOUNGE CHAIR
KURISUCHANRAPPU	CHRISTIAN RAP
SANSARUBADORU	SAN SALVADOR
POROSHATSU	POLO SHIRTS
AIDORUKOSUTO	IDLE COST
METARUHAIDORAIDO	METAL HYDRIDE
UIN'UIN	WIN WIN
AKUTIBUDESUKUTOPPU	ACTIVE DESKTOP
BADISHISUTEMU	BUDDY SYSTEM
INRAIN	IN LINE
TEREBIJONSUKURIN	TELEVISION SCREEN
AMERIKAINDIAN	AMERICA INDIAN
BANPUMAPPU	BUMP MAP
SHINGURUTORAKKU	SINGLE TRACK
TOMUKORINZU	TOM COLLINS
MONTEKARURO	MONTE CARLO
FIJIKARUDISUTANSU	PHYSICAL DISTANCE
REFERARUSENTA	REFERRAL CENTRE
TESUTORAN	TEST RUN
SUKURIPUTOFAIRU	SCRIPT FILE
BATAFURAINAIFU	BUTTERFLY KNIFE
PUROFAIRUEDITA	PROFILE EDITOR
