フェミニニティ	femininity	F_EH2_M_AH0_N_IH1_N_AH0_T_IY0
セキュリティホール	security|hole	S_IH0_K_Y_UH1_R_AH0_T_IY0|HH_OW1_L
クライエント	client	K_L_AY1_AH0_N_T
ラチス	lattice	L_AE1_T_AH0_S
ウォータープルーフ	waterproof	W_AO1_T_ER0_P_R_UW2_F
シャドーキャビネット	shadow|cabinet	SH_AE1_D_OW2|K_AE1_B_AH0_N_AH0_T
ベンダ	vendor	V_EH1_N_D_ER0
ヴェンダー	vendor	V_EH1_N_D_ER0
ブロウジョブ	blow|job	B_L_OW1|JH_AA1_B
ジンフィズ	gin|fizz	JH_IH1_N|F_IH1_Z
サーメ	sami	S_AE1_M_IY0
メインバンク	main|bank	M_EY1_N|B_AE1_NG_K
アイデアル	ideal	AY0_D_IY1_L
ワクショップ	workshop	W_ER1_K_SH_AA2_P
キャピラリー	capillary	K_AE1_P_AH0_L_EH2_R_IY0
セロハン	cellophane	S_EH1_L_AH0_F_EY2_N
イーアイサ	eisa	EY1_S_AH0
エイサア	eisa	EY1_S_AH0
スウィーティー	sweetie	S_W_IY1_T_IY0
スィーティー	sweetie	S_W_IY1_T_IY0
スイーティー	sweetie	S_W_IY1_T_IY0
フット	foot	F_UH1_T
ハッジ	hajj	HH_AE1_JH
ハジ	hajj	HH_AE1_JH
ラインエディター	line|editor	L_AY1_N|EH1_D_AH0_T_ER0
フェーシャル	facial	F_EY1_SH_AH0_L
ストーレジ	storage	S_T_AO1_R_AH0_JH
ストーレッジ	storage	S_T_AO1_R_AH0_JH
プレジデント	president	P_R_EH1_Z_IH0_D_AH0_N_T
エクイティ	equity	EH1_K_W_AH0_T_IY0
サードパーティー	third|party	TH_ER1_D|P_AA1_R_T_IY0
トマトピューレー	tomato|puree	T_AH0_M_EY1_T_OW2|P_Y_UH0_R_EY1
ワラント	warrant	W_AO1_R_AH0_N_T
ウォーラント	warrant	W_AO1_R_AH0_N_T
カレンダ	calendar	K_AE1_L_AH0_N_D_ER0
リアクトル	reactor	R_IY0_AE1_K_T_ER0
フアン	fan	F_AE1_N
コンディション	condition	K_AH0_N_D_IH1_SH_AH0_N
ブースター	booster	B_UW1_S_T_ER0
ヤヌス	janus	JH_EY1_N_AH0_S
コンシューマー	consumer	K_AH0_N_S_UW1_M_ER0
パパイヤ	papaya	P_AH0_P_AY1_AH0
レイシズム	racism	R_EY1_S_IH2_Z_AH0_M
スパイダー	spider	S_P_AY1_D_ER0
ラグジュアリー	luxury	L_AH1_G_ZH_ER0_IY0
ヴァラエティ	variety	V_ER0_AY1_AH0_T_IY0
バラエティー	variety	V_ER0_AY1_AH0_T_IY0
ヴァリエテ	variety	V_ER0_AY1_AH0_T_IY0
バラエティ	variety	V_ER0_AY1_AH0_T_IY0
バリエテ	variety	V_ER0_AY1_AH0_T_IY0
ヴァリエティ	variety	V_ER0_AY1_AH0_T_IY0
アキュレイト	accurate	AE1_K_Y_ER0_AH0_T
フォロー	follow	F_AA1_L_OW0
アブソルート	absolute	AE1_B_S_AH0_L_UW2_T
ドラド	dorado	D_AO0_R_AA1_D_OW0
プレイオフ	play|off	P_L_EY1|AO1_F
フィクスチャ	fixture	F_IH1_K_S_CH_ER0
イーメルアドレス	e|mail|address	IY1|M_EY1_L|AE1_D_R_EH2_S
チャップン	splash	S_P_L_AE1_SH
マニュファクチャラ	manufacturer	M_AE2_N_Y_AH0_F_AE1_K_CH_ER0_ER0
マニュファクチュラー	manufacturer	M_AE2_N_Y_AH0_F_AE1_K_CH_ER0_ER0
マニュファクチュラ	manufacturer	M_AE2_N_Y_AH0_F_AE1_K_CH_ER0_ER0
マヌーバー	maneuver	M_AH0_N_UW1_V_ER0
ネイルポリッシュ	nail|polish	N_EY1_L|P_AA1_L_IH0_SH
フュージョン	fusion	F_Y_UW1_ZH_AH0_N
アップデート	update	AH0_P_D_EY1_T
ブルジョアジー	bourgeoisie	B_UH2_R_ZH_W_AA2_Z_IY1
ルーチングテーブル	routing|table	R_AW1_T_IH0_NG|T_EY1_B_AH0_L
ゴルゴン	gorgon	G_AO1_R_G_AH0_N
オーストリッチ	ostrich	AO1_S_T_R_IH0_CH
トラップ	trap	T_R_AE1_P
ツートン	two|tone	T_UW1|T_OW1_N
ギャレージ	garage	G_ER0_AA1_ZH
エード	aid	EY1_D
マーメード	mermaid	M_ER1_M_EY2_D
リスクテーク	risk|take	R_IH1_S_K|T_EY1_K
マルティプル	multiple	M_AH1_L_T_AH0_P_AH0_L
プロム	prom	P_R_AA1_M
コマンドラインインタフェース	command|line|interface	K_AH0_M_AE1_N_D|L_AY1_N|IH1_N_T_ER0_F_EY2_S
プロバビリティ	probability	P_R_AA2_B_AH0_B_IH1_L_AH0_T_IY2
インフォーメーション	information	IH2_N_F_AO2_R_M_EY1_SH_AH0_N
インフォーメーシオン	information	IH2_N_F_AO2_R_M_EY1_SH_AH0_N
セージ	sage	S_EY1_JH
バレル	barrel	B_AE1_R_AH0_L
マイクロコンピュータ	microcomputer	M_AY1_K_R_OW2_K_AH0_M_P_Y_UW1_T_ER0
リインホースメント	reinforcement	R_IY2_IH0_N_F_AO1_R_S_M_AH0_N_T
プロダクトプレースメント	product|placement	P_R_AA1_D_AH0_K_T|P_L_EY1_S_M_AH0_N_T
インモーラル	immoral	IH2_M_AO1_R_AH0_L
キャラメル	caramel	K_EH1_R_AH0_M_AH0_L
オーシャンサージャン	ocean|surgeon	OW1_SH_AH0_N|S_ER1_JH_AH0_N
ウイッチ	witch	W_IH1_CH
ウエットフライ	wet|fly	W_EH1_T|F_L_AY1
サーティ	thirty	TH_ER1_D_IY2
ムーヴィー	movie	M_UW1_V_IY0
フォニーム	phoneme	F_OW1_N_IY0_M
イエズス	jesus	JH_IY1_Z_AH0_S
フィギュア	figure	F_IH1_G_Y_ER0
スキャナ	scanner	S_K_AE1_N_ER0
ギャランティ	guaranty	G_EH2_R_AH0_N_T_IY1
ギャランティー	guaranty	G_EH2_R_AH0_N_T_IY1
トラフィックシェーピング	traffic|shaping	T_R_AE1_F_IH0_K|SH_EY1_P_IH0_NG
メーリングリスト	mailing|list	M_EY1_L_IH0_NG|L_IH1_S_T
ブルートレーン	blue|train	B_L_UW1|T_R_EY1_N
アフターヌーンドレス	afternoon|dress	AE2_F_T_ER0_N_UW1_N|D_R_EH1_S
マンドレイク	mandrake	M_AE1_N_D_R_EY2_K
アソシエーション	association	AH0_S_OW2_S_IY0_EY1_SH_AH0_N
フローリング	flooring	F_L_AO1_R_IH0_NG
フロアリング	flooring	F_L_AO1_R_IH0_NG
ブレンドウイスキー	blend|whiskey	B_L_EH1_N_D|W_IH1_S_K_IY0
チルダ	tilde	T_IH1_L_D_AH0
タイムマシーン	time|machine	T_AY1_M|M_AH0_SH_IY1_N
ゲートウェイサービス	gateway|service	G_EY1_T_W_EY2|S_ER1_V_AH0_S
ヒーデス	fides	F_AY1_D_Z
カーボーイ	cowboy	K_AW1_B_OY2
アクセシビリティ	accessibility	AE2_K_S_EH0_S_AH0_B_IH1_L_IH0_T_IY0
エキゾティック	exotic	IH0_G_Z_AA1_T_IH0_K
ローダ	loader	L_OW1_D_ER0
エアーギター	air|guitar	EH1_R|G_IH0_T_AA1_R
スポンジ	sponge	S_P_AH1_N_JH
ジョギング	jogging	JH_AA1_G_IH0_NG
アクセスカウンター	access|counter	AE1_K_S_EH2_S|K_AW1_N_T_ER0
ベビィードール	baby|doll	B_EY1_B_IY0|D_AA1_L
ベビィドール	baby|doll	B_EY1_B_IY0|D_AA1_L
テニスプレーヤー	tennis|player	T_EH1_N_AH0_S|P_L_EY1_ER0
バグパイプ	bagpipe	B_AE1_G_P_AY2_P
コーディネイト	coordinate	K_OW0_AO1_R_D_AH0_N_AH0_T
クレディビリティー	credibility	K_R_EH2_D_AH0_B_IH1_L_IH0_T_IY0
アーバンリニュアル	urban|renewal	ER1_B_AH0_N|R_IH0_N_UW1_AH0_L
シビヤ	severe	S_AH0_V_IH1_R
シビアー	severe	S_AH0_V_IH1_R
シビア	severe	S_AH0_V_IH1_R
ビニルシート	vinyl|sheet	V_AY1_N_AH0_L|SH_IY1_T
ナンバーリング	numbering	N_AH1_M_B_ER0_IH0_NG
ブリュー	blue	B_L_UW1
ポワソン	poisson	P_OY1_Z_S_AH0_N
マーカ	marker	M_AA1_R_K_ER0
ヨットパーカー	yacht|parka	Y_AA1_T|P_AA1_R_K_AH0
ティーパーティ	tea|party	T_IY1|P_AA1_R_T_IY0
エージ	age	EY1_JH
スムーズ	smooth	S_M_UW1_DH
スプリーム	supreme	S_AH0_P_R_IY1_M
シュープリーム	supreme	S_AH0_P_R_IY1_M
ナムプラー	nam|pla	N_AE1_M|P_L_AA1
レベル	level	L_EH1_V_AH0_L
カメラレディー	camera|ready	K_AE1_M_ER0_AH0|R_EH1_D_IY0
トレー	tray	T_R_EY1
エキサイティング	exciting	IH0_K_S_AY1_T_IH0_NG
オルターナティヴ	alternative	AO0_L_T_ER1_N_AH0_T_IH0_V
オルターナティブ	alternative	AO0_L_T_ER1_N_AH0_T_IH0_V
オールタナティブ	alternative	AO0_L_T_ER1_N_AH0_T_IH0_V
オルタナティブ	alternative	AO0_L_T_ER1_N_AH0_T_IH0_V
オールターナティブ	alternative	AO0_L_T_ER1_N_AH0_T_IH0_V
クリエーター	creator	K_R_IY0_EY1_T_ER0
クリエイター	creator	K_R_IY0_EY1_T_ER0
クリエータ	creator	K_R_IY0_EY1_T_ER0
スモーカー	smoker	S_M_OW1_K_ER0
トップマネジメント	top|management	T_AA1_P|M_AE1_N_AH0_JH_M_AH0_N_T
オートモビル	automobile	AO1_T_AH0_M_OW0_B_IY2_L
テープレコーダ	tape|recorder	T_EY1_P|R_IH0_K_AO1_R_D_ER0
バイオセンサー	biosensor	B_AY2_OW0_S_EH1_N_S_ER0
ミステイク	mistake	M_IH0_S_T_EY1_K
ジェノミクス	genomics	JH_IY2_N_OW1_M_IH0_K_S
ドロワーズ	drawers	D_R_AO1_R_Z
ズロース	drawers	D_R_AO1_R_Z
フォースアウト	force|out	F_AO1_R_S|AW1_T
ベイウィンドー	bay|window	B_EY1|W_IH1_N_D_OW0
コンピュータビジョン	computer|vision	K_AH0_M_P_Y_UW1_T_ER0|V_IH1_ZH_AH0_N
コレクティビズム	collectivism	K_AH0_L_EH1_K_T_IH0_V_IH2_Z_AH0_M
バッゲージ	baggage	B_AE1_G_IH0_JH
バゲッジ	baggage	B_AE1_G_IH0_JH
カムフラージュ	camouflage	K_AE1_M_AH0_F_L_AA2_ZH
カムフラージ	camouflage	K_AE1_M_AH0_F_L_AA2_ZH
カモフラージ	camouflage	K_AE1_M_AH0_F_L_AA2_ZH
バンツー	bantu	B_AE1_N_T_UW0
ナフサ	naphtha	N_AE1_F_TH_AH0
クロスプラットフォーム	cross|platform	K_R_AO1_S|P_L_AE1_T_F_AO2_R_M
ポール	pole	P_OW1_L
ディレクトリ	directory	D_ER0_EH1_K_T_ER0_IY0
ディレクトリィ	directory	D_ER0_EH1_K_T_ER0_IY0
アサシネイション	assassination	AH0_S_AE2_S_AH0_N_EY1_SH_AH0_N
プアー	poor	P_UW1_R
プア	poor	P_UW1_R
インデンテーション	indentation	IH2_N_D_EH2_N_T_EY1_SH_AH0_N
ウィ	oui	W_IY1
ナラティブ	narrative	N_AE1_R_AH0_T_IH0_V
アクチノイド	actinide	AE1_K_T_IH0_N_AY2_D
アクチニド	actinide	AE1_K_T_IH0_N_AY2_D
リプロタクション	reproduction	R_IY2_P_R_AH0_D_AH1_K_SH_AH0_N
インストレーション	installation	IH2_N_S_T_AH0_L_EY1_SH_AH0_N
ブルーベリー	blueberry	B_L_UW1_B_EH2_R_IY0
パミストーン	pumice|stone	P_AH1_M_AH0_S|S_T_OW1_N
バミストン	pumice|stone	P_AH1_M_AH0_S|S_T_OW1_N
ハヤシ	hash	HH_AE1_SH
アドプトプログラム	adopt|program	AH0_D_AA1_P_T|P_R_OW1_G_R_AE2_M
レファレンダム	referendum	R_EH2_F_ER0_EH1_N_D_AH0_M
スリーブ	sleeve	S_L_IY1_V
ウォータークレス	watercress	W_AO1_T_ER0_K_R_EH2_S
エンジェル	angel	EY1_N_JH_AH0_L
プロッタ	plotter	P_L_AA1_T_ER0
テクニック	technique	T_EH0_K_N_IY1_K
リピータ	repeater	R_IH0_P_IY1_T_ER0
クリスマスパーティー	christmas|party	K_R_IH1_S_M_AH0_S|P_AA1_R_T_IY0
ピクチャー	picture	P_IH1_K_CH_ER0
マナーウェア	manner|wear	M_AE1_N_ER0|W_EH1_R
ポーセレンアート	porcelain|art	P_AO1_R_S_AH0_L_AH0_N|AA1_R_T
フルート	flute	F_L_UW1_T
コンパニー	company	K_AH1_M_P_AH0_N_IY2
コンヴォリューション	convolution	K_AA1_N_V_AH0_L_UW2_SH_AH0_N
シティポップ	city|pop	S_IH1_T_IY0|P_AA1_P
スポーティー	sporty	S_P_AO1_R_T_IY0
レクチャー	lecture	L_EH1_K_CH_ER0
オーレ	ole	OW1_L
ミクロスコープ	microscope	M_AY1_K_R_AH0_S_K_OW2_P
フィーチャー	feature	F_IY1_CH_ER0
フィーチュア	feature	F_IY1_CH_ER0
ラスターグラフィックス	raster|graphics	R_AE1_S_T_ER0|G_R_AE1_F_IH0_K_S
アーキテクチャ	architecture	AA1_R_K_AH0_T_EH2_K_CH_ER0
アーキテクチャー	architecture	AA1_R_K_AH0_T_EH2_K_CH_ER0
アーキテクチュア	architecture	AA1_R_K_AH0_T_EH2_K_CH_ER0
インタプリター	interpreter	IH2_N_T_ER1_P_R_AH0_T_ER0
インタプリタ	interpreter	IH2_N_T_ER1_P_R_AH0_T_ER0
インタープリター	interpreter	IH2_N_T_ER1_P_R_AH0_T_ER0
ロマニー	romani	R_OW0_M_AA1_N_IY0
ゾウオロジー	zoology	Z_OW0_AA1_L_AH0_JH_IY0
ズーオロジー	zoology	Z_OW0_AA1_L_AH0_JH_IY0
ウエポン	weapon	W_EH1_P_AH0_N
シャンパーニュ	champagne	SH_AE0_M_P_EY1_N
フェザ	feather	F_EH1_DH_ER0
スライダー	slider	S_L_AY1_D_ER0
グッバイ	goodbye	G_UH2_D_B_AY1
タイマー	timer	T_AY1_M_ER0
リテナー	retainer	R_IH0_T_EY1_N_ER0
コーホート	cohort	K_OW1_HH_AO0_R_T
アクセルレータ	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクセラレータ	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクセラレーター	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクセル	accelerator	AH0_K_S_EH1_L
アニール	annealing	AH0_N_IY1_L_IH0_NG
トラスティ	trustee	T_R_AH2_S_T_IY1
ピノーノワール	pinot|noir	P_IH1_N_AH0_T|N_OY1_R
バースデイ	birthday	B_ER1_TH_D_EY2
バースデー	birthday	B_ER1_TH_D_EY2
バトントワーラー	baton|twirler	B_AH0_T_AA1_N|T_W_ER1_L_ER0
バトンガール	baton|twirler	B_AH0_T_AA1_N|T_W_ER1_L_ER0
リンカー	linker	L_IH1_NG_K_ER0
ボランティア	volunteer	V_AA2_L_AH0_N_T_IH1_R
コンテンツプロバイダ	contents|provider	K_AA1_N_T_EH0_N_T_S|P_R_AH0_V_AY1_D_ER0
マイノリティー	minority	M_AY0_N_AO1_R_AH0_T_IY0
アルミニューム	aluminum	AH0_L_UW1_M_AH0_N_AH0_M
コスメティック	cosmetic	K_AA0_Z_M_EH1_T_IH0_K
バシラス	bacillus	B_AH0_S_IH1_L_AH0_S
マジカル	magical	M_AE1_JH_IH0_K_AH0_L
ジャーマニー	germany	JH_ER1_M_AH0_N_IY0
サウンダー	sounder	S_AW1_N_D_ER0
フィージビリティースタディ	feasibility|study	F_IY2_Z_AH0_B_IH1_L_AH0_T_IY0|S_T_AH1_D_IY0
フィージビリティースタディー	feasibility|study	F_IY2_Z_AH0_B_IH1_L_AH0_T_IY0|S_T_AH1_D_IY0
レアルポリティク	realpolitik	R_IY2_L_P_AO2_L_IH0_T_IH1_K
レアルポリティーク	realpolitik	R_IY2_L_P_AO2_L_IH0_T_IH1_K
ドラック	drag	D_R_AE1_G
アクースティック	acoustic	AH0_K_UW1_S_T_IH0_K
アコウスティック	acoustic	AH0_K_UW1_S_T_IH0_K
ウインチ	winch	W_IH1_N_CH
プロップ	prop	P_R_AA1_P
イマジナリー	imaginary	IH2_M_AE1_JH_AH0_N_EH2_R_IY0
スノープロウ	snow|plow	S_N_OW1|P_L_AW1
シロシビン	psilocybin	S_AY2_L_AH0_S_AY1_B_AH0_N
フォンデュー	fondue	F_AA0_N_D_Y_UW1
デージー	daisy	D_EY1_Z_IY0
インパチエンス	impatiens	IH2_M_P_EY1_SH_AH0_N_Z
フムス	hummus	HH_UH1_M_AH0_S
ベークドアラスカ	baked|alaska	B_EY1_K_T|AH0_L_AE1_S_K_AH0
ベイクドアラスカ	baked|alaska	B_EY1_K_T|AH0_L_AE1_S_K_AH0
ソーシャルダンス	social|dance	S_OW1_SH_AH0_L|D_AE1_N_S
ドータボード	daughter|board	D_AO1_T_ER0|B_AO1_R_D
キューポラ	cupola	K_AH0_P_OW1_L_AH0
トモグラフィ	tomography	T_OW0_M_OW1_G_R_AE0_F_IY2
フォーティー	forty	F_AO1_R_T_IY0
コレクター	collector	K_AH0_L_EH1_K_T_ER0
フレーバ	flavor	F_L_EY1_V_ER0
フレイバー	flavor	F_L_EY1_V_ER0
フレーヴァ	flavor	F_L_EY1_V_ER0
フレイヴァー	flavor	F_L_EY1_V_ER0
フレーバー	flavor	F_L_EY1_V_ER0
フレイヴァ	flavor	F_L_EY1_V_ER0
フレーヴァー	flavor	F_L_EY1_V_ER0
トレンディ	trendy	T_R_EH1_N_D_IY0
サービス	service	S_ER1_V_AH0_S
アイブロウ	eyebrow	AY1_B_R_AW2
アイブロー	eyebrow	AY1_B_R_AW2
コッテージ	cottage	K_AA1_T_AH0_JH
オーバフロー	overflow	OW1_V_ER0_F_L_OW2
デキシー	dixie	D_IH1_K_S_IY0
ネガティブ	negative	N_EH1_G_AH0_T_IH0_V
ネガチィブ	negative	N_EH1_G_AH0_T_IH0_V
ネガティヴ	negative	N_EH1_G_AH0_T_IH0_V
アピール	appeal	AH0_P_IY1_L
イネーブル	enable	EH0_N_EY1_B_AH0_L
ウエストライン	waistline	W_EY1_S_T_L_AY2_N
アストロノウト	astronaut	AE1_S_T_R_AH0_N_AA2_T
レベリオン	rebellion	R_IH0_B_EH1_L_Y_AH0_N
ムーンフェース	moon|face	M_UW1_N|F_EY1_S
ブクレシュチ	bucharest	B_UW1_K_AH0_R_EH2_S_T
ブカレスト	bucharest	B_UW1_K_AH0_R_EH2_S_T
アナライザー	analyzer	AE1_N_AH0_L_AY2_Z_ER0
ブレインストーム	brainstorm	B_R_EY1_N_S_T_AO2_R_M
デートレーダー	day|trader	D_EY1|T_R_EY1_D_ER0
ヴィオロン	violin	V_AY0_AH0_L_IH1_N
バイオリン	violin	V_AY0_AH0_L_IH1_N
バッグ	bag	B_AE1_G
ミーリングマシン	milling|machine	M_IH1_L_IH0_NG|M_AH0_SH_IY1_N
ブッシュドノエル	buche|de|noel	B_AH1_CH|D_IY1|N_OW0_EH1_L
スクリュードライバー	screwdriver	S_K_R_UW1_D_R_AY2_V_ER0
マイナスドライバ	screwdriver	S_K_R_UW1_D_R_AY2_V_ER0
ディーゼル	diesel	D_IY1_S_AH0_L
ティア	tier	T_IY1_R
イノベーション	innovation	IH2_N_AH0_V_EY1_SH_AH0_N
カスタードプリン	custard|pudding	K_AH1_S_T_ER0_D|P_UH1_D_IH0_NG
トルティージャ	tortilla	T_AO0_R_T_IY1_AH0
ディクショナリ	dictionary	D_IH1_K_SH_AH0_N_EH2_R_IY0
シザーズ	scissors	S_IH1_Z_ER0_Z
ボトムクォーク	bottom|quark	B_AA1_T_AH0_M|K_W_AA1_R_K
ヒューマニティ	humanity	HH_Y_UW0_M_AE1_N_IH0_T_IY0
タレント	talent	T_AE1_L_AH0_N_T
デビュー	debut	D_EY0_B_Y_UW1
エランヴィタル	elan|vital	IY1_L_AH0_N|V_AY1_T_AH0_L
エランビタル	elan|vital	IY1_L_AH0_N|V_AY1_T_AH0_L
ミーティア	meteor	M_IY1_T_IY0_ER0
エバー	ever	EH1_V_ER0
ユーザーインターフェース	user|interface	Y_UW1_Z_ER0|IH1_N_T_ER0_F_EY2_S
ユーザインタフェース	user|interface	Y_UW1_Z_ER0|IH1_N_T_ER0_F_EY2_S
ユーザーインターフェイス	user|interface	Y_UW1_Z_ER0|IH1_N_T_ER0_F_EY2_S
オグ	ogg	AA1_G
エントロピ	entropy	EH1_N_T_R_AH0_P_IY0
ピュリッツアー	pulitzer	P_UH1_L_AH0_T_S_ER0
ピュリッツァー	pulitzer	P_UH1_L_AH0_T_S_ER0
ピューリッツァー	pulitzer	P_UH1_L_AH0_T_S_ER0
ランダムアクセスメモリーキャッシュ	random|access|memory|cache	R_AE1_N_D_AH0_M|AE1_K_S_EH2_S|M_EH1_M_ER0_IY0|K_AE1_SH
ブラーマン	brahman	B_R_AA1_M_AH0_N
オブザーバ	observer	AH0_B_Z_ER1_V_ER0
マシーンランゲージ	machine|language	M_AH0_SH_IY1_N|L_AE1_NG_G_W_AH0_JH
ケーオス	chaos	K_EY1_AA0_S
カオス	chaos	K_EY1_AA0_S
フィナンシャル	financial	F_AH0_N_AE1_N_SH_AH0_L
トーキ	talkie	T_AO1_K_IY0
フラッグシップショップ	flagship|shop	F_L_AE1_G_SH_IH2_P|SH_AA1_P
アクワティック	aquatic	AH0_K_W_AA1_T_IH0_K
アクアティック	aquatic	AH0_K_W_AA1_T_IH0_K
メッシュ	meche	M_EH1_CH
テークオーバービッド	take|over|bid	T_EY1_K|OW1_V_ER0|B_IH1_D
バクテリヤ	bacteria	B_AE0_K_T_IH1_R_IY0_AH0
フォアグラ	foie|gras	F_W_AA1|G_R_AE1_S
グーラグ	gulag	G_Y_UW1_L_AE0_G
モデュラーコーディネーション	modular|coordination	M_AO1_JH_AH0_L_ER0|K_OW0_AO2_R_D_AH0_N_EY1_SH_AH0_N
ラジエータ	radiator	R_EY1_D_IY0_EY2_T_ER0
ラジエーター	radiator	R_EY1_D_IY0_EY2_T_ER0
ラジェーター	radiator	R_EY1_D_IY0_EY2_T_ER0
ゼネラルストライキ	general|strike	JH_EH1_N_ER0_AH0_L|S_T_R_AY1_K
スエットスーツ	sweatsuit	S_W_EH1_T_S_UW2_T
ウニコール	unicorn	Y_UW1_N_IH0_K_AO2_R_N
シースヒーター	sheath|heater	SH_IY1_DH|HH_IY1_T_ER0
ヴォイストレーナー	vocal|trainer	V_OW1_K_AH0_L|T_R_EY1_N_ER0
プレイヤ	player	P_L_EY1_ER0
プレーヤ	player	P_L_EY1_ER0
プレイヤー	player	P_L_EY1_ER0
ギルティー	guilty	G_IH1_L_T_IY0
ウォシュレット	wash|toilet	W_AA1_SH|T_OY1_L_AH0_T
リクリエーション	recreation	R_EH2_K_R_IY0_EY1_SH_AH0_N
リクリェーション	recreation	R_EH2_K_R_IY0_EY1_SH_AH0_N
レクリェーション	recreation	R_EH2_K_R_IY0_EY1_SH_AH0_N
カタルーニャ	catalonia	K_AE2_T_AH0_L_OW1_N_Y_AH0
カタロニア	catalonia	K_AE2_T_AH0_L_OW1_N_Y_AH0
ウェーバー	waiver	W_EY1_V_ER0
ウエアー	wear	W_EH1_R
ウエア	wear	W_EH1_R
ウェアー	wear	W_EH1_R
ナプキン	napkin	N_AE1_P_K_IH0_N
ウエディングヴェール	wedding|veil	W_EH1_D_IH0_NG|V_EY1_L
ウェディングヴェール	wedding|veil	W_EH1_D_IH0_NG|V_EY1_L
ウェディングベール	wedding|veil	W_EH1_D_IH0_NG|V_EY1_L
チアーダンス	cheer|dance	CH_IH1_R|D_AE1_N_S
コモンキャリヤー	common|carrier	K_AA1_M_AH0_N|K_AE1_R_IY0_ER0
コモンキャリア	common|carrier	K_AA1_M_AH0_N|K_AE1_R_IY0_ER0
コモンキャリアー	common|carrier	K_AA1_M_AH0_N|K_AE1_R_IY0_ER0
プランジャー	plunger	P_L_AH1_N_JH_ER0
テキスト	text	T_EH1_K_S_T
アドミニストレーター	administrator	AH0_D_M_IH1_N_IH0_S_T_R_EY2_T_ER0
ジャンパーースカート	jumper|skirt	JH_AH1_M_P_ER0|S_K_ER1_T
ジャンパースカート	jumper|skirt	JH_AH1_M_P_ER0|S_K_ER1_T
ストラクチャー	structure	S_T_R_AH1_K_CH_ER0
ガジェット	gadget	G_AE1_JH_AH0_T
ラインアダプター	line|adapter	L_AY1_N|AH0_D_AE1_P_T_ER0
フラジオレット	flageolet	F_L_AE2_JH_AH0_L_EH1_T
ゾウン	zone	Z_OW1_N
モータ	motor	M_OW1_T_ER0
モートル	motor	M_OW1_T_ER0
ウォンテッド	wanted	W_AO1_N_T_IH0_D
ホモセクシャル	homosexual	HH_OW2_M_OW0_S_EH1_K_SH_UW0_AH0_L
エンゲージメント	engagement	EH0_N_G_EY1_JH_M_AH0_N_T
ミニアチュール	miniature	M_IH1_N_IY0_AH0_CH_UH2_R
ミニアチュア	miniature	M_IH1_N_IY0_AH0_CH_UH2_R
サンティアゴ	santiago	S_AE2_N_T_IY0_AA1_G_OW0
フラスコ	frasco	F_R_AA1_S_K_OW0
ボイラ	boiler	B_OY1_L_ER0
カフェオレ	cafe|au|lait	K_AH0_F_EY1|OW1|L_EY1
オープン	opening	OW1_P_AH0_N_IH0_NG
レピート	repeat	R_IH0_P_IY1_T
クロスプレー	close|play	K_L_OW1_S|P_L_EY1
ハンディクリーナー	handy|cleaner	HH_AE1_N_D_IY0|K_L_IY1_N_ER0
アーキトレーブ	architrave	AA1_R_K_AH0_T_R_EY2_V
ダイポル	dipole	D_AY1_P_OW2_L
メビウス	moebius	M_OW1_B_IY0_IH0_S
アーチスト	artist	AA1_R_T_IH0_S_T
アーティスト	artist	AA1_R_T_IH0_S_T
ローゼット	rosette	R_AH0_S_EH1_T
ビクター	victor	V_IH1_K_T_ER0
ウィンドローズ	wind|rose	W_AY1_N_D|R_OW1_Z
インターネットサービスプロバイダー	internet|service|provider	IH1_N_T_ER0_N_EH2_T|S_ER1_V_AH0_S|P_R_AH0_V_AY1_D_ER0
アクシデンタル	accidental	AE2_K_S_AH0_D_EH1_N_T_AH0_L
サイドバー	sidebar	S_AY1_D_B_AA2_R
スーパーコンピュータ	supercomputer	S_UW2_P_ER0_K_AH0_M_P_Y_UW1_T_ER0
マスティフ	mastiff	M_AE1_S_T_AH0_F
テクニカルルーティン	technical|routine	T_EH1_K_N_IH0_K_AH0_L|R_UW0_T_IY1_N
ランスル	run|through	R_AH1_N|TH_R_UW1
マタニティーブルー	maternity|blue	M_AH0_T_ER1_N_IH0_T_IY0|B_L_UW1
ウースターソース	worcester|sauce	W_UH1_S_T_ER0|S_AO1_S
トランスファーマシン	transfer|machine	T_R_AE0_N_S_F_ER1|M_AH0_SH_IY1_N
マルキスト	marxist	M_AA1_R_K_S_AH0_S_T
ロビーイング	lobbying	L_AA1_B_IY0_IH0_NG
ダイバーシティー	diversity	D_IH0_V_ER1_S_IH0_T_IY0
コンヴァート	convert	K_AA1_N_V_ER0_T
アリヤー	aliyah	AH0_L_IY1_AH0
アリーヤー	aliyah	AH0_L_IY1_AH0
ディジタルビデオディスク	digital|video|disk	D_IH1_JH_AH0_T_AH0_L|V_IH1_D_IY0_OW0|D_IH1_S_K
プラットホーム	platform	P_L_AE1_T_F_AO2_R_M
アキダクト	aqueduct	AE1_K_W_AH0_D_AH2_K_T
アクウダクト	aqueduct	AE1_K_W_AH0_D_AH2_K_T
アーダント	ardent	AA1_R_D_AH0_N_T
